id;rank;review
1;5;"Como bien les comenté a los propietarios a la hora de abandonar el hotel, no dudaré un momento en recomendar una y otra vez el Hotel Albero de Granada. Su situación respecto del centro de Granada no es la mejor, pero para nuestros propósitos era perfecto (escapada de fin de semana con visita a la Alhambra). Se encuentra en la carretera de paso a Sierra Nevada y muy cercano a la Alhambra. Por la zona se puede encontrar aparcamiento y este se encuentra en una zona segura y tranquila. Los parkings del centro de Granada que nos recomendaron en el hotel fueron lo que nos dijeron (nada caros) y pudimos movernos por el centro perfectamente desde allí. Las habitaciones muy limpias y las camas confortables. El desayuno fue espectacular. Ya teníamos buenas referencias de este maravilloso hotel de una estrella (que para mí que viajo constantemente son más) pero ha superado con creces nuestras expectativas. Si vuelvo a Granada no dudaré en hospedarme en el mismo hotel. Muchas gracias por todo!!
"
2;4;"Estuvimos dos días con mi familia, reservando dos habitaciones y desayuno incluido, incluso cogí parking privado. La estancia fue perfecta, un lugar que está bien comunicado para subir a La Alhambra (en 3 minutos con coche particular o el bus 13 con parada allí mismo), para ir al centro (15 minutos bus 33 con parada en el lugar), igualmente, existe una rotonda desde donde sale la carretera para ir a Sierra Nevada. Las habitaciones muy confortables y la limpieza es de resaltar. El desayuno muy completo. El trato es muy amable por todos, sobretodo por la familia que gerencia el establecimiento, te informan y te ayudan sobre cualquier duda o problema que te surja. La relación calidad-precio es estupenda, no me extraña nada que le hayan concedido los galardones de Winner 2011 y 2012 de Tripadvisor. Por lo cual, nosotros, si volvemos por Granada, que nos encantó, tanto la ciudad (estaban de feria), la majestuosa Alhambra, sus jardines, Las Alpujarras y hasta los 2550 metros de altitud de la subida a la Estación de Sierra Nevada. Es recomendable 100% para el que quiera pasar unos días por Granada y sus alrededores.
"
3;3;"Habíamos escogido este hotel por las buenas opiniones..... pero la verdad que el hotel está algo alejado del centro, pero muy bien comunicado con buses. La habitación no era de las que promocionan en la web, era mucho más normalita, eso si con balcón. El somier hacía mucho ruido al moverse, con la consiguiente molestia de poder conciliar el sueño, y el suelo no lo habían pasado en ningún día de los que estuvimos, aunque el baño estaba siempre impecable... En fin me he llevado una decepción en algunos aspectos.... el último día pudimos ver una de las preciosas habitaciones que tienen y se nos calló el alma al suelo, que preciosidad, nada que ver con la nuestra.... Tengo que decir también que fueron muy amables, y nos facilitaron todo lo que pedíamos y estaba en su mano
"
4;5;"Hemos vuelto por segunda vez a este estupendo hotel de Granada y nos ha vuelto a maravillar: magnífica relación calidad-precio, mucha limpieza, y buena localización. Hemos aparcado el coche en la puerta y hasta la salida no lo hemos necesitado, ya que con el autobús llegas al centro enseguida. Para hacer la reserva no tuve que adelantar nada, y eso que sólo era una noche y les mareé con la reserva. El trato es el que considero correcto: amable y solícito pero sin empalagar. Además, nos tocó una cama de latex en la que dormimos como en casa. Si vuelvo a Granada, repito.
"
5;5;"He estado dos días en Granada por trabajo, soy autónomo y busco con algo de antelación sobre la referencia de tripadvisor. Por eso elegir hotel Albero no fue muy difícil pues está perfectamente catalogado por opiniones favorables anteriores. Me sumo, por situación, cerca de Granada y cerca de la Alhambra, en zona tranquila donde se encuentra aparcamiento. Por calidad precio, 30 € noche, con desayuno incluido, por cierto un desayuno excelente (oferta que me proporcionaron si bien estaba fuera de fecha), habitación cómoda, limpia y con todos los servicios (tv, wifi). Sobre todo porque el personal con Pepe a la cabeza, Lorenzo y la Señora que también me atendió (siento no me acuerdo del nombre), digo que el personal es fuera de lo común y están completamente volcados a que tu experiencia sea única. No exagero, es un 10, si no precisas de servicios o lujos innecesarios.100% recomendable incluso para familias con hijos que quieran visitar Granada unos días, pues tienen habitaciones preparadas para ello. Para comer hay un restaurante muy cerca, ""Cuatro Caminos"" que me recomendaron la gente del hotel, con comida casera excelente y muy asequible (menu 8 €!!!!)
"
6;4;"Esta en muy buena situación para quienes como yo pretenda ir a Sierra Nevada y visitar Granada. Hotel pequeño, económico, muy limpio y el trato del personal muy amable. En la habitación hay Tv, wifi, calefactor en habitación y cuarto de baño por lo que frio nada de nada, a parte del aire acondicionado. El coche lo dejamos en el aparcamiento del hotel por 5 €, lo aconsejo. El desayuno se da en una habitación pequeña pero estupendo, terminas artito. Pienso repetir.
"
7;5;"POSITIVO: La relación calidad-precio es excepcional en todo (limpieza, servicio, localización...)* NEGATIVO: Absolutamente nada (aunque parezca mentira)Hicimos la reserva por Internet el mismo día que nos queríamos alojar allí. Cuando llegamos al hotel, gestionamos la reserva sin problemas y muy rápido. El hombre que se encontraba en recepción nos regaló un mapa de Granada y nos indicó dónde podíamos ir, tanto para comer, cenar, visitar, zonas de montaña... Además nos facilitó la clave de la conexión WIFI TOTALMENTE GRATUITA. Todo con una amabilidad y educación excepcional. Cuando entramos en la habitación el ambiente era cálido y realmente acogedor. Nuestra reserva fue en Febrero y, a pesar del frío exterior, la temperatura de la habitación se mantenía perfecta con un calefactor de pared y uno en el baño que regulaba la temperatura automáticamente. Nuestra habitación también tenía aire acondicionado con mando a distancia. El tamaño de la habitación era ideal para albergar una cama doble bastante grande, dos mesitas de noche, un armario y un escritorio con una silla y aún así poder andar sin tropezarte con nada. En la pared tenía un televisor plano que se veía estupendamente y además la habitación contaba con terraza y baño privado. La terraza tenía vistas a la puerta del propio hotel y tenía una mesa con dos sillas estupendamente preparadas para sentarte a navegar un rato. El baño tenía una bañera cuadrada con espacio para una persona con mampara de ducha, un lavabo y un WC. Todo muy limpio y bien acondicionado. En una repisa se podían encontrar toallas limpias, en el lavabo dos sobres de gel de baño acompañados de dos pastillas de jabón pequeñas y en la pared un secador para el pelo de uso gratuito, por supuesto. Es un hotel bastante silencioso y no hubo ruido o molestia alguna que perturbara nuestro sueño. Nuestra reserva tenía el desayuno incluido que se servía de 08:30 a 10:30 en una pequeña salita también acondicionada a una temperatura perfecta y con televisión en la pared. El desayuno en nuestro caso fue dos cafés, dos zumos de naranja, dos tostadas para cada uno y dos cruasanes, todo ello acompañado de una cestita con porciones de mantequilla, mermelada, paté...Que además podías pedir más si se te quedaban cortas. Para los huéspedes que no tenían en desayuno incluido el precio era de 3,80€, pero merece la pena porque acabas realmente lleno. La localización del hotel es perfecta, puesto que está a cinco minutos en coche (literalmente) de un centro comercial con cines, lugares para comer o tapear, tiendas de ropa, etc. También puedes encontrar a cinco minutos en coche la Alhambra y queda muy cerca de la carretera que conduce a Sierra Nevada. Además paran autobuses en la misma puerta. Nosotros nos quedamos una noche y cuando lo reservamos, al ver el precio, no pensábamos que pudiera estar tan bien como después resultó.EN RESUMEN, RECOMENDABLE 100%. Si vuelvo a Granada me hospedaré aquí SIN DUDA ALGUNA.
"
8;4;"Se trata de un hotel muy pequeño, situado algo lejos del centro de Granada. Para llegar en transporte hay dos autobuses; uno deja en el centro y el otro deja al lado de la Alhambra. Para quien vaya en coche es muy conveniente, está en la carretera de la Sierra y no es necesario entrar en la ciudad para llegar. Las habitaciones son pequeñas pero están recientemente renovadas e impecablemente limpias. El personal es extraordinariamente amable. Viajaba con una persona con problemas de espalda y el colchón de la habitación era demasiado blando; sólo comentárselo nos cambiaron a otra con colchones mucho más rígido que nos salvaron las vacaciones.
"
9;4;"Es un hotel de sólo una estrella, modesto, pero limpio, bien comunicado en bus al centro de la ciudad y los dueños son muy amables. Atentos a cualquier sugerencia o pregunta. Desayuno: 3.50euros, parking:5 euros. Buena relación calidad-precio
"
10;5;"En el mes de agosto estuve disfrutando de un paseo unico por españa, conoci granada un lugar maravilloso lleno de historia y misterio. Estuvimos alojados con mis padres en este hotel en el cual nos sentimos muy a gusto, esta atendido por sus dueños un matrimonio el cual nos hizo sentir muy comodos y nos indico muy bien todo los puntos turisticos, restorant y otros lugares para poder disfrutar. Esta bien ubicado, su desayuno es muy bueno. Desde Buenos Aires les mandamos nuestro saludos a sus propietarios.
"
